										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 09 09 20	0.64	5.1	9.1	334	0.0	180	0.61	4.96	335	0.16	12.57	320
2023 09 09 21	0.63	4.99	9.1	334	0.0	180	0.61	4.85	335	0.16	12.52	320
2023 09 09 22	0.63	4.91	9.1	334	0.0	180	0.61	4.77	335	0.16	12.48	320
2023 09 09 23	0.63	4.88	9.1	334	0.0	180	0.61	4.75	335	0.16	12.44	320
2023 09 10 00	0.62	4.95	9.1	334	0.0	180	0.6	4.81	335	0.16	12.4	320
2023 09 10 01	0.61	5.07	9.1	334	0.0	180	0.59	4.93	335	0.15	12.35	320
2023 09 10 02	0.6	5.21	9.1	334	0.0	180	0.58	5.06	335	0.15	12.31	320
2023 09 10 03	0.59	5.35	9.1	334	0.0	180	0.57	5.2	335	0.15	12.27	320
2023 09 10 04	0.59	5.47	9.1	334	0.0	180	0.56	5.32	335	0.15	12.23	319
2023 09 10 05	0.58	5.56	9.1	334	0.0	180	0.56	5.41	335	0.15	12.19	319
2023 09 10 06	0.58	5.61	9.1	334	0.0	180	0.56	5.46	335	0.15	12.15	319
2023 09 10 07	0.57	5.61	9.1	335	0.0	180	0.55	5.47	335	0.14	12.09	319
